VendorNo,BankCountry,BankKey,BankAcc
58970,BWA,093569,03975438
37233,ZMB,293877,06916438
99760,REU,603933,38593564
74104,ETH,230437,95285355
74104,AZE,332101,91020419
11114,PER,979489,32566209
11114,BVT,773050,10902537
45806,MAR,858260,36848945
54211,BFA,635143,38972661
54211,MOZ,482284,17477651
47677,ROU,417607,52416060
47677,ETH,320531,16885631
74158,KAZ,930799,49666160
74158,ARM,742241,46572037
73628,SVK,736112,40405045
22671,ARM,491852,13905004
88139,MDA,475681,19192561
32376,LBY,657436,65636399
32376,CMR,966222,89633871
51684,TON,476470,77046163
51684,BLM,881069,01651782
56892,MLI,097624,78788045
56892,LTU,718169,58571466
34529,AUT,564020,85349745
78302,GNQ,637554,44347085
33958,KAZ,816851,59353680
33958,KHM,326900,07033280
67092,CRI,155264,51391824
67092,MKD,670849,00444158
42847,ALB,348807,80548641
46825,SPM,105796,96400717
46825,BOL,306355,37129409
28562,LVA,136238,12617046
9583,SXM,936774,77692830
25280,GUF,961880,07262698
25280,ESP,520309,69030303
80136,JPN,466073,29342977
80136,IRQ,998950,85110580
10416,GGY,211005,63968783
14954,KIR,178677,99598593
98284,GNB,384711,97478642
98284,NLD,051204,95400255
8690,MTQ,351908,07430836
8690,CUW,860580,01222825
60459,GBR,639190,32687300
17823,MOZ,553022,43329347
34295,NIU,192409,82627142
34295,MRT,068970,97830322
19951,TUN,352960,43022983
19951,STP,418322,36679057
88596,SYC,970803,93503291
1576,BRB,127851,36119459
1576,LAO,871521,56993312
93191,LBR,696655,69357654
93191,SRB,350156,63498790
58058,TON,100720,08597032
3769,SGP,875901,72802983
3769,CHE,104325,59632521
94280,DMA,597879,52979730
52754,SWE,045616,66756654
98369,KGZ,063720,29033879
37772,COM,915600,22464639
37772,CCK,458878,61471464
48079,NPL,262593,46154998
48079,MDA,796631,89908234
26060,VEN,030116,82385891
26060,HUN,730694,27350570
15645,CXR,094252,50527384
41423,GGY,147833,80346699
55920,CUW,469691,73300401
34900,VEN,984151,03964492
2085,NIC,990477,15502021
2085,MUS,921701,62347709
9165,AZE,661257,11194274
9165,SYR,996056,61132786
52709,JOR,162593,25005057
52709,TGO,298366,45378602
5000,HRV,195586,25495942
5000,DZA,317534,77000048
15187,SYR,671157,90940876
82846,GBR,880819,25901393
82846,TJK,451448,31212632
81980,DJI,509353,11095577
81980,ALA,765702,46084784
808,BOL,841934,91024269
48473,SAU,639654,50982121
48473,CXR,156647,87290975
73766,ZWE,022413,14364047
73766,SLV,896165,40812201
6357,BRB,079231,08390492
6357,NIC,929368,32745244
18015,ARG,750616,69484126
18015,CYP,749947,85973925
66406,FRO,934337,35032151
2097,HKG,865754,23695895
2097,SAU,032788,19023680
70074,DJI,544996,77116110
70074,SXM,612270,11678341
82790,ZMB,431956,98808148
63691,ERI,734181,40170455
71717,AND,530586,56400547
43842,FRA,490003,47054412
56469,MAF,301524,21490829
56469,BLM,558452,48072144
99604,HRV,582259,16427833
99604,TTO,407350,05092772
20051,JPN,543846,73277781
20051,OMN,742609,46944049
12460,VGB,667377,39100692
12460,GHA,190802,73436265
69658,CAF,957562,17228153
69658,IRL,167545,51002699
1467,MHL,623810,08537541
1467,AFG,323546,81751123
21137,KOR,385008,19001782
21137,TON,202360,50911403
68819,MCO,245393,21018748
80857,BRA,880679,27740552
54254,SJM,091406,46393136
54254,MLT,915812,09661683
85064,CAF,401623,57041395
29395,LAO,422875,25657297
64937,MDV,615522,14445637
64937,ARG,183911,76783224
5680,SVK,579837,15044162
5680,EGY,566612,37201734
80089,JEY,866598,26664974
9687,CPV,188011,85948511
24387,PRT,861974,82486835
24387,REU,350908,11921583
41463,SXM,741399,23486299
11626,KGZ,518223,03425775
11626,DNK,219483,33228967
45585,FLK,532511,37866745
35724,VIR,745124,46853739
18699,NOR,524397,07310061
18699,SEN,309962,93074846
41599,MTQ,939569,75987929
74697,ATA,567038,00226928
74697,URY,409209,30170207
77808,BHR,090120,19866334
77808,BVT,757339,66436930
6182,LBR,755573,96407265
6182,POL,936101,87508617
89982,SOM,673096,56230384
89982,TKL,217556,41681836
33889,ALA,305571,06656478
15147,BIH,226803,81192260
29018,SAU,474016,40089763
23538,POL,023076,93085315
80828,SGS,160076,54490012
22833,TZA,138645,05505212
22833,FLK,782386,29777788
55864,LBN,376406,05847239
9887,SYC,607467,76507315
8061,LIE,609637,49460750
8061,SSD,501322,71256541
9816,MAR,441484,90185498
39325,BRA,336739,38848921
9893,SWZ,417063,82044180
9893,LUX,415820,17030890
14782,ISL,274814,37656079
87536,UZB,643985,33471769
87536,FIN,663139,02313984
55906,TCD,591310,13127513
55906,BVT,027945,37669118
55602,MLT,173332,54195871
55602,PYF,998112,12205161
19472,SPM,399726,25910165
19472,BTN,754061,60454810
2518,CUW,820186,52056236
50516,MAR,358056,13892463
50516,MNE,404638,59509245
41020,FLK,712140,07687402
586,NOR,952546,21858457
586,CXR,376909,05051288
77454,PYF,484144,63529908
77454,EGY,183712,71498570
24262,GBR,762607,02244580
24262,LCA,823456,08123420
69963,IOT,901113,50687929
69963,PRI,701239,54209879
59569,IOT,701826,75626682
4421,COL,431361,37997258
4421,DMA,521800,45921245
14405,BES,969218,11493020
14405,MUS,941379,44819811
92717,ARG,298027,64262426
92717,BRN,859764,78213653
4729,BTN,741074,32123905
4729,SWE,583998,86218454
27371,CIV,500163,05990474
46585,LBR,565516,24789455
84345,CUB,434262,56808233
84345,MNE,355493,36642160
51452,MSR,793890,47729275
51452,BTN,814438,77272751
91942,MUS,210473,44034539
77337,FIN,938168,71658377
79526,MAC,862483,01662461
79526,PNG,646071,47148216
11723,MEX,359055,40370577
64071,THA,513725,35672114
64071,TCD,836495,74379162
96333,LBY,272709,25293516
56690,VIR,088827,48747392
56690,POL,647080,55465334
43214,AGO,910744,86828773
8608,GUY,918823,89950400
8608,GHA,293712,05795603
9265,NLD,589670,59424315
44665,ATF,423362,36116050
44665,DNK,928533,38362114
42830,AND,079673,07383573
68642,SMR,933319,48492342
68642,ZAF,369095,55491494
93049,GLP,794694,64605418
49602,ZMB,443196,94094419
91632,GEO,268800,09277279
83968,AGO,424911,72481927
83968,LTU,679103,13133301
64005,EST,881380,06260322
30171,DJI,705445,54572286
85308,KIR,794780,02470556
186,EGY,536913,49699331
91628,KHM,959030,65743665
91628,SLV,062664,32478166
46097,SAU,012688,59058208
73946,WLF,174699,70578684
10112,HND,381665,07512356
10112,NAM,412696,94014318
92769,CRI,035329,68971698
92769,NOR,821188,94744964
2677,PRT,819978,66288052
2677,QAT,797909,32383365
22526,MOZ,760510,98376821
22526,IRQ,826024,69884107
48503,PAN,687340,74952156
32976,KEN,882251,29492461
32976,MSR,203626,95530003
92205,LTU,437249,27529175
92205,TKM,868271,75629495
94424,WLF,189804,05983957
18099,GBR,446625,04038125
18099,HRV,710519,16786061
25946,GTM,685822,91967610
25946,PER,806775,29149071
85497,BFA,590164,66649192
50890,KAZ,696463,33653148
50890,GIN,014191,75446157
39182,HRV,450422,04535715
95112,CRI,694823,00010822
95112,MNP,889200,88340074
24543,SSD,071284,79499219
45799,GIN,127565,77260262
8197,KGZ,914304,68574641
8197,FLK,696898,38188744
27639,MLI,028560,80068162
27639,MHL,484202,98398555
23339,PER,835919,51598939
23339,TUN,885811,76238683
4629,COL,748268,88658368
80485,TCA,925116,90283784
62989,ATA,706835,45861197
62989,PLW,236152,14057929
49590,SOM,684789,65676541
49590,MRT,607440,63912625
53087,TLS,684493,71031967
9116,HKG,531085,18990346
76979,RUS,507646,04330872
85054,ZMB,925672,94624055
16066,ISR,039264,98277355
34262,BRB,668296,29421412
9366,NRU,014245,62657978
9366,IOT,731775,73922291
50380,ZMB,580351,76334318
50380,ITA,490264,47037057
89402,SGP,587780,28569344
87307,CYM,006579,85569042
87307,VNM,880010,39494291
3115,SHN,580333,31307725
80633,HUN,859313,18936701
80633,PLW,029547,65514081
15888,MTQ,202438,07296048
15888,UGA,797646,88731540
65101,CHL,096519,58645486
65101,DMA,437939,74364039
94621,GUM,507875,36382157
35678,ITA,206036,47835626
92468,GMB,979516,43575252
22543,TUV,002463,06755341
22543,PCN,559915,85240620
57760,SUR,582743,84978000
57760,ISR,851662,38470573
76917,ECU,831560,43297434
40786,PHL,327285,52812535
81535,GNB,799066,76215125
27777,AUT,107055,22408445
96673,BIH,329218,20240000
90756,LKA,279107,17250897
90756,MNE,545308,57790906
72689,CCK,248740,45644688
72689,BES,457528,26241015
87672,FIN,159053,58325620
7490,REU,854342,10364174
7490,NZL,254316,91208861
67743,FRO,623987,13284798
67743,BFA,218685,23949508
17422,ALA,768813,61211733
74956,PSE,174792,12350836
74956,CAF,680341,03764616
24898,BHR,256270,68280329
88335,ASM,397102,34332164
88335,AGO,552246,07557248
51026,LBN,694298,67152638
51026,NFK,110053,30244834
84887,SEN,169088,68245640
84887,SUR,536812,10116821
88284,IOT,589226,36641188
42453,CAN,765188,60051799
42453,BEL,798948,26283448
98752,JAM,190500,18973344
98752,SAU,429101,43700295
66917,TGO,915575,24619511
66917,SOM,847532,47699714
57127,MOZ,430279,54587718
43666,TLS,768624,43234399
43666,PAN,015485,68304338
73770,CCK,888289,70255714
73770,NIU,514485,83850155
50189,ARE,385920,93948242
69178,CRI,011080,48995233
65286,FRO,650568,12539809
52357,GUM,569362,04693900
52357,YEM,374849,39714827
45020,SHN,929518,87403876
69468,POL,627494,94720885
69468,GRC,342278,24210051
95826,MCO,545238,26071479
95826,CHL,834584,69848103
79539,DMA,616420,89045998
79539,MDA,534457,23882415
60857,GNQ,898179,19759439
60857,MAC,448103,53165754
31613,MCO,007808,62121656
31613,PRI,673524,27006577
67967,PYF,185818,91686938
22142,IRQ,539063,28863797
22142,PRT,130292,19384627
21225,VGB,617846,14534724
69499,UGA,444906,65669330
69499,BHS,872691,76109144
8734,HND,268475,12945820
8734,SJM,971271,61644678
23731,AND,165745,36298810
23731,WLF,386728,57573754
11960,PNG,833571,75918756
11960,SWE,359193,08570564
22529,GUM,128163,80951345
22529,VEN,115239,37679027
17509,BHS,732155,02156136
16030,BDI,064032,62340273
16030,PRI,708907,80853890
84340,MLT,929264,39751834
84340,SLE,378494,26518181
65990,HUN,455424,86165574
65990,BFA,866426,28334225
10556,NER,757189,52133962
2869,LBN,924171,13667005
2869,GTM,773436,09809988
19815,FLK,979812,16635329
83371,PSE,626389,00621027
83371,MAF,183198,79825362
22986,CPV,306925,51960472
64329,POL,293399,33202096
35307,BEN,105036,04669645
67353,PER,170673,30831503
67353,SLB,698152,45027103
37964,SLV,309265,83309635
83367,FIN,480241,07780085
33535,CCK,550631,03595002
33535,EST,140492,75111011
88693,ESH,364622,76660935
98253,CAF,041949,83101764
75918,POL,912251,05208549
72388,CMR,240908,24115936
72388,GUM,518828,62465762
85451,ROU,133106,43700871
39443,ARM,519779,95140605
77975,PYF,724671,83502410
26669,KNA,304863,88438922
11722,BGD,422852,35277469
11722,DOM,541324,48065579
54195,AUT,446225,39642983
54195,BWA,362678,50018660
10690,LIE,426264,70096036
45810,IDN,608941,64563512
45810,HMD,440687,75986913
45902,LBR,423186,31064688
31981,NPL,924888,68036125
72654,LCA,337241,23914294
72654,FRA,606237,50059527
11560,SXM,674316,99958643
3879,LUX,754117,16029821
5743,ZAF,813024,85064187
80436,KGZ,880141,07015711
80436,TUV,725342,35045050
6052,CHE,538257,31627815
6052,IND,925306,74849839
45557,CPV,452454,38001464
45557,SXM,010992,45845871
86807,GRL,025939,40194670
86807,GGY,864308,40343263
25173,PYF,407159,16217730
25173,POL,563592,27295557
32801,SDN,472110,26183430
32801,COG,806017,65330612
5514,PRT,446147,22512621
5514,BES,940955,38188922
2700,NLD,181896,31369312
2700,LCA,035990,85389965
19021,ALB,592295,23074819
19021,CXR,213783,76117075
79175,BHS,331411,50631557
79175,BEL,035801,49421641
94860,CIV,698826,24073383
94860,MNP,016791,98063440
6863,KGZ,793290,63862293
6863,EGY,244667,55981056
63192,ATF,258358,82593301
25675,SXM,197848,73283951
25675,ROU,230438,87119046
45584,MTQ,082611,57324909
45584,PSE,532256,08090010
50934,URY,958658,05398518
14112,ATF,723251,80875188
14112,IOT,201088,13483101
3225,SSD,975734,61607452
3225,NIU,018711,22161526
20695,NZL,719482,88805149
20695,PRY,360104,01285433
51447,LBY,173476,48981990
37089,QAT,614998,35972757
5074,NAM,886274,10537765
5074,HKG,739256,81945329
44571,ITA,927542,81840797
44571,CRI,437556,07067389
94407,ARE,690593,19768240
94407,ZAF,809385,74981748
42562,DMA,312542,28702009
36290,MLT,375317,90803814
18691,CZE,886411,23872881
18691,CHE,755522,80955855
58817,DJI,777064,86763725
58817,AZE,257337,98067676
72802,YEM,706311,45248886
72802,LCA,430153,47529578
89114,CXR,269467,47962012
23197,BWA,336479,04717416
23197,KWT,670985,92490106
37280,SAU,360998,87199492
97655,AIA,091869,22381212
97655,SEN,640329,84355857
52394,GUF,524019,85335958
41134,GGY,608750,15401503
41134,LAO,193790,17665787
90075,UMI,646791,11932599
90075,BOL,221281,28483912
27778,ABW,503932,14605424
58582,AGO,305943,92381466
93047,LCA,525450,21772239
93047,REU,732895,47469129
33878,MTQ,586842,22571310
88114,SUR,756131,37018629
88114,BRA,424990,66124962
39696,MHL,579341,50011334
39696,BRB,223128,53430991
86992,SHN,243709,33577140
459,UMI,989707,29959642
1629,MMR,220654,85869120
1629,QAT,314879,08933640
14803,ARM,565897,88117658
14803,TWN,657566,30454537
13388,CXR,967207,97315263
13388,TCD,783947,66648520
1028,MLT,925266,44797600
1028,NAM,196178,86440245
27151,ZWE,924544,16392436
27151,CMR,417471,54944449
72681,ALB,230823,63326425
72681,SEN,885150,73708672
55653,NIU,653798,48251428
33863,MTQ,204849,12103841
33863,DOM,720349,65767159
84866,CHE,611479,54506488
92803,SVK,406593,22013453
38234,THA,337840,19113858
38234,ESH,892966,06818304
53748,BDI,594635,49138541
81234,MNE,185024,53933044
81234,GUF,730814,30961589
44309,MKD,286300,45693878
44309,SVK,843160,65112701
89194,MAF,773858,55286004
27997,KOR,672615,14600057
27997,CHE,428303,89474740
55503,LBY,697631,17419397
29771,GUM,991213,05516028
85248,COG,200677,91910930
85248,COK,409857,15248612
11355,MYT,827810,51351150
36721,ESH,291445,95445529
36721,ARG,301463,95875834
22221,SYR,818596,00321332
22221,CMR,477331,94257639
10795,BOL,762571,34408804
77410,URY,321892,29124165
77410,DNK,274461,29911458
39836,MDV,540675,11599889
39836,HRV,536692,29472431
70856,MSR,359347,36957953
31040,IRL,394088,24826715
31040,MOZ,853829,43322663
26087,MAC,869831,71615356
26087,COK,836310,65943114
67136,COL,964702,09514004
2419,SRB,291518,28788466
2419,AFG,308382,25883934
92126,AZE,002471,61592386
91227,GAB,455795,53570791
99423,NZL,247874,72382275
99423,IRN,147918,87554581
47773,ZMB,858321,53348063
14741,BWA,201476,63247763
14741,COD,694643,23964475
41606,SPM,310811,35186954
41606,MSR,063267,37288447
38994,THA,387734,79890242
38994,DOM,117612,45623784
66466,GGY,815900,61333573
66466,SMR,075782,66758121
23690,BVT,429510,26478927
23690,GGY,240776,79074584
12062,BWA,262659,04330829
44546,NLD,318274,17061168
44546,LIE,228693,09382762
71766,SYC,682276,72160597
16761,PCN,930832,47345460
90262,VEN,205911,58355987
90262,BLM,463795,43047845
81448,LAO,414845,82483868
2366,GBR,386902,36389750
2366,CRI,564228,86288594
61814,BFA,322226,04152047
61814,SLV,369189,23688908
38221,GEO,978816,62883714
26300,MYS,653503,63151905
26300,JPN,182452,94520605
36311,PLW,398229,27596479
36311,BFA,059778,17117750
22357,KNA,995742,01997985
87317,FIN,901041,38066894
87317,TLS,873494,37500815
43194,FSM,489309,98076350
43194,SVK,374291,17378748
29469,KGZ,102488,37430451
66950,CYP,889323,65350072
33931,GAB,682517,14678723
55875,SPM,124756,48660321
49749,DJI,158995,46802921
49749,NER,160298,09248938
10609,IDN,857011,00344291
10609,MEX,523136,40591506
69206,IOT,057874,85235386
69206,MEX,189585,01512041
71798,FSM,056574,98906649
52683,MLT,913397,27723419
89996,TJK,303325,49818691
7310,SYC,144647,28937069
82610,CCK,002403,64476436
82610,SHN,709633,81017516
68289,LAO,640223,56181145
68289,SVK,313687,64686910
51833,UKR,793946,73880497
51833,GEO,252768,39551651
83536,COD,525178,03876586
83536,ATF,678737,16603923
41208,GRD,348687,99043785
19063,IMN,136469,59766608
19063,BRA,443246,24817056
71540,DJI,311246,96185279
68762,LBR,010461,41013306
68762,KEN,425632,11789873
51960,MNG,673993,48019850
51960,BRN,852924,11896402
86740,IDN,809626,53968495
68782,TCD,505213,16675198
29213,THA,197375,38733086
29213,AZE,504722,10144513
52283,MHL,059535,10476335
52283,GHA,837284,58006714
21587,BVT,035083,62655865
21587,ATA,192176,46416921
89891,VIR,560776,01998912
89891,ATA,073165,39461699
94790,TUN,501776,00245718
59963,BRB,816869,14152470
59963,COK,601859,59907530
91331,TGO,691959,52444371
15176,KEN,136863,62484478
44615,PAK,201224,48475799
36937,TTO,648175,58335793
64977,KEN,148946,01528755
64977,CRI,084700,99420171
80203,OMN,040929,13990813
2202,AFG,038170,49019178
2202,AZE,346341,54915594
72789,MWI,490566,04141006
72789,JPN,981566,68050257
30273,UZB,755054,32701609
30273,LBR,236698,33079655
27805,SDN,628375,28130015
27805,ARG,766150,34649790
60628,GNB,284393,83234515
57964,LVA,965899,89203046
99393,CHE,401873,56546068
99393,CYM,773787,27867299
41771,BOL,317081,98145692
41771,SGP,736993,76338323
59454,KIR,774430,76857245
59454,ALA,980139,07730062
47695,SMR,551068,25347438
22539,SXM,831503,74504652
2634,MLI,256759,94296774
2634,NGA,066924,64721100
87115,PER,472148,77361536
64126,KOR,271860,70290196
64126,GLP,581237,32360385
54219,SAU,962824,48508425
80780,GMB,545436,52804106
80780,CHN,443060,26087415
93034,GIN,530071,91501238
42695,USA,870890,01105903
42695,KGZ,832921,29281764
9573,CAN,263465,99004857
65796,PCN,723280,94653071
68476,MEX,025539,91607633
36022,VUT,541511,88992110
36022,PAK,418950,78390726
6679,GNB,058141,73394934
6679,MNP,233286,31232956
8692,POL,138014,01530824
84004,UMI,927558,90662510
84004,UMI,252773,47377271
72977,CRI,076905,74339247
24444,WSM,081341,83119386
85853,ROU,380378,67767141
85853,FJI,942034,40260524
56713,NGA,749416,13557793
56713,ATG,937929,80747178
83713,MNE,755225,21866174
83713,MAC,153632,89561723
15983,NAM,542126,32945808
40558,NRU,489381,23845442
40558,TTO,725981,90426744
74222,KWT,972628,48283483
75206,NFK,352561,66768580
75206,FRA,448780,31909702
97353,ALB,895444,40310767
21542,MUS,082436,79138422
41451,ZMB,516040,24838669
41451,ARG,530488,55093778
88607,GRL,878858,24798422
58498,GBR,832875,61487993
13258,AZE,066763,84323597
13258,CHN,736042,42460870
66316,GAB,791772,76967959
66316,MNE,396814,89567377
86172,SPM,868705,39270775
32430,BEL,122935,97253190
73072,ESH,760896,67835222
62510,GIN,635762,35986336
62510,DNK,045143,32755826
32023,VIR,110314,53584659
32023,HRV,126634,28099665
82120,ATG,897337,48300478
1944,JAM,935698,38098777
1944,IRL,846351,48637956
69092,HTI,121211,71910955
69092,CHN,232586,78044334
52437,KHM,974568,20727311
87348,NIC,847771,37718835
87348,GUY,559688,45314027
15118,THA,108075,33662023
15118,CHL,461411,99418679
64449,EST,380583,14482140
98465,FIN,305100,57702593
90677,BRA,963783,74055448
30605,DMA,241401,28128870
73676,LCA,841522,77096474
74096,TCD,396373,17107974
96298,AND,703644,80423012
96298,SXM,591708,19941730
69498,PSE,399900,60855831
69498,NIC,907119,89427308
41321,TCA,857463,99718695
68324,DMA,107715,00301829
68324,FIN,607363,39430155
12785,CYP,005006,19526597
60953,BOL,660050,54765749
60953,TKM,590086,88091640
95361,ITA,037394,48898683
53815,SMR,917451,63960751
53815,COM,340144,40165157
77943,ECU,625362,74308369
72695,IRL,069435,52067259
72695,CUB,510133,38286437
60391,CHL,715852,62756824
55952,BRA,119925,90843805
87246,CAN,287333,80820642
67655,GUM,603573,70030546
67655,CUW,405413,07619878
19755,PRY,098589,91328991
19755,AUT,958163,78951628
95473,LBY,028174,72381711
51017,UMI,890123,53706786
51017,KAZ,883803,79618140
63703,CMR,049542,92566095
33072,MNE,966865,80710116
44376,MNP,852666,60822227
44376,NLD,886580,20482007
14030,MDA,386121,86458438
6824,CXR,869032,99985005
45937,MDG,286934,94084844
45937,BRN,706568,94639819
47750,AND,712474,49941335
14958,NFK,057401,17726752
14958,SDN,142149,80367649
61662,MNG,721606,29865431
75507,BLZ,143517,71908503
75507,TUN,763374,51619120
597,NRU,348944,51667750
597,TWN,006949,98841167
4983,NOR,669368,56016718
4983,SHN,685520,80811805
60005,ALA,504731,26829264
60005,GLP,554647,10934538
33887,CIV,248071,65208117
35385,GRL,652630,07453105
35385,NAM,620916,20092364
50619,ALA,848749,30270209
50619,COD,080878,93432279
44097,TUV,112685,85399671
44097,DJI,595300,71555080
59129,FRO,746271,07121072
59129,ERI,862308,62790080
37698,MOZ,195625,44558500
37698,MNE,525616,95753169
77017,DEU,739958,50623441
40881,ATA,646249,98008236
40881,HMD,364535,29980577
40501,DNK,003313,52367227
40501,KWT,698825,76443744
59473,RWA,309946,70650000
36762,TUV,722049,95094483
36762,PYF,641749,35587459
48486,SVK,244371,34932973
38884,BOL,339722,24315641
47289,BHS,152974,28775169
78811,VEN,982677,13222337
55792,HRV,547258,83104363
33078,YEM,402120,21475039
81237,ISL,223736,12753423
81237,ERI,214983,48686390
22893,HMD,130406,64224305
55349,AND,360483,24204437
57696,BIH,783501,60743745
5308,CHN,349709,95518936
5308,PNG,606177,33500988
18752,BLR,310942,46774421
18752,YEM,421415,73792088
61307,AUT,878659,32471839
24967,FJI,859712,52907270
24967,PER,254983,18664926
56630,EGY,720723,87738485
13203,SGP,368410,67059137
13203,UKR,887278,84908182
37790,PRI,066415,15417536
37790,MKD,454110,25540111
37597,LVA,224698,17324653
37597,MCO,638404,67985232
46120,MSR,044890,71275654
97231,LAO,606624,75041694
97231,SJM,521254,39890050
18891,OMN,605924,60464183
18891,ARE,104818,38040108
12658,IMN,796809,08759884
60269,VIR,400336,70184677
60269,CPV,710663,54414741
32231,NLD,151071,04437856
32231,SRB,675237,46166861
87510,TON,359076,71299623
87510,ABW,051175,88599923
81783,GUF,768943,63318318
24618,SMR,128382,50215917
74475,SJM,414283,53090156
82017,COD,353176,57242628
75211,MDA,554272,95219835
22054,GUF,844681,53575038
67618,FLK,089992,12678427
49966,FSM,784535,83472507
74258,BRN,127765,39636691
74258,ASM,755236,21118948
5006,KNA,446074,61143188
50750,KOR,144574,90093756
3905,AZE,430017,28512927
38206,TJK,636311,81584117
38206,SAU,328614,59384578
95863,MNG,557658,36249797
59154,ATA,002884,68309667
4299,GUM,131452,82889211
70835,OMN,374916,23818720
77888,SWZ,548212,31536882
77888,ARM,135145,33327601
6402,GRC,171420,10071524
